product,technology,region,year,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream,
Alumina,Gas-Boiler + Elec-Calciner,Rest of Europe,2020,0.630296,,0.236272,,,
Alumina,Gas-Boiler + Elec-Calciner,Middle East,2020,0.483838,,0.220848,,,
Alumina,Gas-Boiler + Elec-Calciner,US,2020,0.476527,,0.287788,,,
Alumina,Gas-Boiler + Elec-Calciner,Oceania,2020,0.480757,,0.480154,,,
Alumina,Gas-Boiler + Elec-Calciner,Rest of Asia,2020,0.517452,,0.550435,,,
Alumina,Gas-Boiler + Elec-Calciner,Russia,2020,0.630296,,0.326564,,,
Alumina,Gas-Boiler + Elec-Calciner,South America,2020,0.380605,,0.12368,,,
Alumina,Gas-Boiler + Gas-Calciner,Africa,2020,0.697776,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,China - Central,2020,0.641721,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,China - East,2020,0.641721,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,China - North,2020,0.641721,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,China - North East,2020,0.641721,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,China - North West,2020,0.641721,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,China - South,2020,0.641721,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,Rest of Europe,2020,0.849944,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,Middle East,2020,0.652448,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,US,2020,0.642589,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,Oceania,2020,0.648294,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,Rest of Asia,2020,0.697776,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,Russia,2020,0.849944,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,South America,2020,0.51324,,0,,,
Alumina,Gas-Boiler + H2-Calciner,Africa,2020,0.517452,,0,,,
Alumina,Gas-Boiler + H2-Calciner,China - Central,2020,0.475883,,0,,,
Alumina,Gas-Boiler + H2-Calciner,China - East,2020,0.475883,,0,,,
Alumina,Gas-Boiler + H2-Calciner,China - North,2020,0.475883,,0,,,
Alumina,Gas-Boiler + H2-Calciner,China - North East,2020,0.475883,,0,,,
Alumina,Gas-Boiler + H2-Calciner,China - North West,2020,0.475883,,0,,,
Alumina,Gas-Boiler + H2-Calciner,China - South,2020,0.475883,,0,,,
Alumina,Gas-Boiler + H2-Calciner,Rest of Europe,2020,0.630296,,0,,,
Alumina,Gas-Boiler + H2-Calciner,Middle East,2020,0.483838,,0,,,
Alumina,Gas-Boiler + H2-Calciner,US,2020,0.476527,,0,,,
Alumina,Gas-Boiler + H2-Calciner,Oceania,2020,0.480757,,0,,,
Alumina,Gas-Boiler + H2-Calciner,Rest of Asia,2020,0.517452,,0,,,
Alumina,Gas-Boiler + H2-Calciner,Russia,2020,0.630296,,0,,,
Alumina,Gas-Boiler + H2-Calciner,South America,2020,0.380605,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,Africa,2020,0.754802,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,China - Central,2020,0.694166,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,China - East,2020,0.694166,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,China - North,2020,0.694166,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,China - North East,2020,0.694166,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,China - North West,2020,0.694166,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,China - South,2020,0.694166,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,Rest of Europe,2020,0.919406,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,Middle East,2020,0.70577,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,US,2020,0.695105,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,Oceania,2020,0.701276,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,Rest of Asia,2020,0.754802,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,Russia,2020,0.919406,,0,,,
Alumina,Gas-Boiler + Oil-Calciner,South America,2020,0.555185,,0,,,
Alumina,H2-Boiler + Elec-Calciner,Africa,2020,0,,0.365875,,,
Alumina,H2-Boiler + Elec-Calciner,China - Central,2020,0,,0.302594,,,
Alumina,H2-Boiler + Elec-Calciner,China - East,2020,0,,0.448487,,,
Alumina,H2-Boiler + Elec-Calciner,China - North,2020,0,,0.57817,,,
Alumina,H2-Boiler + Elec-Calciner,China - North East,2020,0,,0.643011,,,
Alumina,H2-Boiler + Elec-Calciner,China - North West,2020,0,,0.448487,,,
Alumina,H2-Boiler + Elec-Calciner,China - South,2020,0,,0.329611,,,
Alumina,H2-Boiler + Elec-Calciner,Rest of Europe,2020,0,,0.236272,,,
Alumina,H2-Boiler + Elec-Calciner,Middle East,2020,0,,0.220848,,,
Alumina,H2-Boiler + Elec-Calciner,US,2020,0,,0.287788,,,
