product,technology_origin,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Ammonia,Biomass Digestion + ammonia synthesis,2035,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2035,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2036,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2036,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2036,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2036,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2036,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2036,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2036,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2036,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2036,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2036,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2037,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2037,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2037,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2037,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2037,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2037,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2037,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2037,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2037,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2037,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2038,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2038,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2038,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2038,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2038,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2038,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2038,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2038,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2038,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2038,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2039,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2039,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2039,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2039,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2039,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2039,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2039,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2039,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2039,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2039,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2040,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2040,China,0,0,0,0,0
