,product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
84,Alumina,Elec-Boiler + Elec-Calciner,China - Central,20,0.06,end-state,,2030,,2020
85,Alumina,Elec-Boiler + Gas-Calciner,China - Central,25,0.06,transition,,2020,,2020
86,Alumina,Elec-Boiler + Oil-Calciner,China - Central,25,0.06,transition,,2020,,2020
87,Alumina,Elec-Boiler + H2-Calciner,China - Central,25,0.06,end-state,,2030,,2020
88,Alumina,H2-Boiler + Elec-Calciner,China - Central,20,0.06,end-state,,2030,,2020
89,Alumina,H2-Boiler + Gas-Calciner,China - Central,25,0.06,transition,,2027,,2020
90,Alumina,H2-Boiler + Oil-Calciner,China - Central,25,0.06,transition,,2027,,2020
91,Alumina,H2-Boiler + H2-Calciner,China - Central,25,0.06,end-state,,2030,,2020
92,Alumina,MVR-Fossil-Boiler + Elec-Calciner,China - Central,20,0.06,end-state,,2030,,2020
93,Alumina,MVR-Fossil-Boiler + Gas-Calciner,China - Central,25,0.06,transition,,2027,,2020
94,Alumina,MVR-Fossil-Boiler + Oil-Calciner,China - Central,25,0.06,transition,,2027,,2020
95,Alumina,MVR-Fossil-Boiler + H2-Calciner,China - Central,25,0.06,end-state,,2030,,2020
96,Alumina,Gas-Boiler + Elec-Calciner,China - South,20,0.06,transition,,2030,,2020
97,Alumina,Gas-Boiler + Gas-Calciner,China - South,25,0.06,initial,,2020,,2020
98,Alumina,Gas-Boiler + Oil-Calciner,China - South,25,0.06,initial,,2020,,2020
99,Alumina,Gas-Boiler + H2-Calciner,China - South,25,0.06,transition,,2030,,2020
100,Alumina,Oil-Boiler + Elec-Calciner,China - South,20,0.06,transition,,2030,,2020
101,Alumina,Oil-Boiler + Gas-Calciner,China - South,25,0.06,initial,,2020,,2020
102,Alumina,Oil-Boiler + Oil-Calciner,China - South,25,0.06,initial,,2020,,2020
103,Alumina,Oil-Boiler + H2-Calciner,China - South,25,0.06,transition,,2030,,2020
104,Alumina,Coal-Boiler + Elec-Calciner,China - South,20,0.06,transition,,2030,,2020
105,Alumina,Coal-Boiler + Gas-Calciner,China - South,25,0.06,initial,,2020,,2020
106,Alumina,Coal-Boiler + Oil-Calciner,China - South,25,0.06,initial,,2020,,2020
107,Alumina,Coal-Boiler + H2-Calciner,China - South,25,0.06,transition,,2030,,2020
108,Alumina,Elec-Boiler + Elec-Calciner,China - South,20,0.06,end-state,,2030,,2020
109,Alumina,Elec-Boiler + Gas-Calciner,China - South,25,0.06,transition,,2020,,2020
110,Alumina,Elec-Boiler + Oil-Calciner,China - South,25,0.06,transition,,2020,,2020
111,Alumina,Elec-Boiler + H2-Calciner,China - South,25,0.06,end-state,,2030,,2020
112,Alumina,H2-Boiler + Elec-Calciner,China - South,20,0.06,end-state,,2030,,2020
113,Alumina,H2-Boiler + Gas-Calciner,China - South,25,0.06,transition,,2027,,2020
114,Alumina,H2-Boiler + Oil-Calciner,China - South,25,0.06,transition,,2027,,2020
115,Alumina,H2-Boiler + H2-Calciner,China - South,25,0.06,end-state,,2030,,2020
116,Alumina,MVR-Fossil-Boiler + Elec-Calciner,China - South,20,0.06,end-state,,2030,,2020
117,Alumina,MVR-Fossil-Boiler + Gas-Calciner,China - South,25,0.06,transition,,2027,,2020
118,Alumina,MVR-Fossil-Boiler + Oil-Calciner,China - South,25,0.06,transition,,2027,,2020
119,Alumina,MVR-Fossil-Boiler + H2-Calciner,China - South,25,0.06,end-state,,2030,,2020
120,Alumina,Gas-Boiler + Elec-Calciner,China - East,20,0.06,transition,,2030,,2020
121,Alumina,Gas-Boiler + Gas-Calciner,China - East,25,0.06,initial,,2020,,2020
122,Alumina,Gas-Boiler + Oil-Calciner,China - East,25,0.06,initial,,2020,,2020
123,Alumina,Gas-Boiler + H2-Calciner,China - East,25,0.06,transition,,2030,,2020
124,Alumina,Oil-Boiler + Elec-Calciner,China - East,20,0.06,transition,,2030,,2020
125,Alumina,Oil-Boiler + Gas-Calciner,China - East,25,0.06,initial,,2020,,2020
126,Alumina,Oil-Boiler + Oil-Calciner,China - East,25,0.06,initial,,2020,,2020
127,Alumina,Oil-Boiler + H2-Calciner,China - East,25,0.06,transition,,2030,,2020
128,Alumina,Coal-Boiler + Elec-Calciner,China - East,20,0.06,transition,,2030,,2020
129,Alumina,Coal-Boiler + Gas-Calciner,China - East,25,0.06,initial,,2020,,2020
130,Alumina,Coal-Boiler + Oil-Calciner,China - East,25,0.06,initial,,2020,,2020
131,Alumina,Coal-Boiler + H2-Calciner,China - East,25,0.06,transition,,2030,,2020
132,Alumina,Elec-Boiler + Elec-Calciner,China - East,20,0.06,end-state,,2030,,2020
133,Alumina,Elec-Boiler + Gas-Calciner,China - East,25,0.06,transition,,2020,,2020
134,Alumina,Elec-Boiler + Oil-Calciner,China - East,25,0.06,transition,,2020,,2020
135,Alumina,Elec-Boiler + H2-Calciner,China - East,25,0.06,end-state,,2030,,2020
136,Alumina,H2-Boiler + Elec-Calciner,China - East,20,0.06,end-state,,2030,,2020
137,Alumina,H2-Boiler + Gas-Calciner,China - East,25,0.06,transition,,2027,,2020
138,Alumina,H2-Boiler + Oil-Calciner,China - East,25,0.06,transition,,2027,,2020
139,Alumina,H2-Boiler + H2-Calciner,China - East,25,0.06,end-state,,2030,,2020
140,Alumina,MVR-Fossil-Boiler + Elec-Calciner,China - East,20,0.06,end-state,,2030,,2020
141,Alumina,MVR-Fossil-Boiler + Gas-Calciner,China - East,25,0.06,transition,,2027,,2020
142,Alumina,MVR-Fossil-Boiler + Oil-Calciner,China - East,25,0.06,transition,,2027,,2020
143,Alumina,MVR-Fossil-Boiler + H2-Calciner,China - East,25,0.06,end-state,,2030,,2020
144,Alumina,Gas-Boiler + Elec-Calciner,Rest of Asia,20,0.06,transition,,2030,,2020
145,Alumina,Gas-Boiler + Gas-Calciner,Rest of Asia,25,0.06,initial,,2020,,2020
146,Alumina,Gas-Boiler + Oil-Calciner,Rest of Asia,25,0.06,initial,,2020,,2020
147,Alumina,Gas-Boiler + H2-Calciner,Rest of Asia,25,0.06,transition,,2030,,2020
148,Alumina,Oil-Boiler + Elec-Calciner,Rest of Asia,20,0.06,transition,,2030,,2020
149,Alumina,Oil-Boiler + Gas-Calciner,Rest of Asia,25,0.06,initial,,2020,,2020
150,Alumina,Oil-Boiler + Oil-Calciner,Rest of Asia,25,0.06,initial,,2020,,2020
151,Alumina,Oil-Boiler + H2-Calciner,Rest of Asia,25,0.06,transition,,2030,,2020
152,Alumina,Coal-Boiler + Elec-Calciner,Rest of Asia,20,0.06,transition,,2030,,2020
153,Alumina,Coal-Boiler + Gas-Calciner,Rest of Asia,25,0.06,initial,,2020,,2020
154,Alumina,Coal-Boiler + Oil-Calciner,Rest of Asia,25,0.06,initial,,2020,,2020
