product,technology,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Aluminium,Carbon Anode+CCS + Hydro,2020,North America,3.2,,0,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,North America,3.2,,0,,
Aluminium,Inert Anode + PPA+Grid,2020,North America,2.74,,2.96,,
Aluminium,Inert Anode + Grid,2020,North America,2.74,,5.92,,
Aluminium,Inert Anode + Coal,2020,North America,18.04,,0,,
Aluminium,Inert Anode + Natural gas,2020,North America,11.15,,0,,
Aluminium,Inert Anode + Coal+CCS,2020,North America,4.27,,0,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,North America,3.58,,0,,
Aluminium,Inert Anode + Hydro,2020,North America,2.74,,0,,
Aluminium,Inert Anode + Small Modular Reactor,2020,North America,2.74,,0,,
Aluminium,Carbon Anode + PPA+Grid,2020,Russia,2.74,,2.56,,
Aluminium,Carbon Anode + Grid,2020,Russia,2.74,,5.12,,
Aluminium,Carbon Anode + Coal,2020,Russia,17.95,,0,,
Aluminium,Carbon Anode + Natural gas,2020,Russia,11.1,,0,,
Aluminium,Carbon Anode + Coal+CCS,2020,Russia,4.26,,0,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,Russia,3.57,,0,,
Aluminium,Carbon Anode + Hydro,2020,Russia,2.74,,0,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,Russia,2.74,,0,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,Russia,3.2,,2.56,,
Aluminium,Carbon Anode+CCS + Grid,2020,Russia,3.2,,5.12,,
Aluminium,Carbon Anode+CCS + Coal,2020,Russia,18.41,,0,,
Aluminium,Carbon Anode+CCS + Natural gas,2020,Russia,11.56,,0,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,Russia,4.72,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,Russia,4.03,,0,,
Aluminium,Carbon Anode+CCS + Hydro,2020,Russia,3.2,,0,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,Russia,3.2,,0,,
Aluminium,Inert Anode + PPA+Grid,2020,Russia,2.74,,2.56,,
Aluminium,Inert Anode + Grid,2020,Russia,2.74,,5.12,,
Aluminium,Inert Anode + Coal,2020,Russia,17.95,,0,,
Aluminium,Inert Anode + Natural gas,2020,Russia,11.1,,0,,
Aluminium,Inert Anode + Coal+CCS,2020,Russia,4.26,,0,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,Russia,3.57,,0,,
Aluminium,Inert Anode + Hydro,2020,Russia,2.74,,0,,
Aluminium,Inert Anode + Small Modular Reactor,2020,Russia,2.74,,0,,
Aluminium,Carbon Anode + PPA+Grid,2020,Europe,2.74,,1.83,,
Aluminium,Carbon Anode + Grid,2020,Europe,2.74,,3.65,,
Aluminium,Carbon Anode + Coal,2020,Europe,17.95,,0,,
Aluminium,Carbon Anode + Natural gas,2020,Europe,11.1,,0,,
Aluminium,Carbon Anode + Coal+CCS,2020,Europe,4.26,,0,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,Europe,3.57,,0,,
Aluminium,Carbon Anode + Hydro,2020,Europe,2.74,,0,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,Europe,2.74,,0,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,Europe,3.2,,1.83,,
Aluminium,Carbon Anode+CCS + Grid,2020,Europe,3.2,,3.65,,
Aluminium,Carbon Anode+CCS + Coal,2020,Europe,18.41,,0,,
Aluminium,Carbon Anode+CCS + Natural gas,2020,Europe,11.56,,0,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,Europe,4.72,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,Europe,4.03,,0,,
Aluminium,Carbon Anode+CCS + Hydro,2020,Europe,3.2,,0,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,Europe,3.2,,0,,
Aluminium,Inert Anode + PPA+Grid,2020,Europe,2.74,,1.83,,
Aluminium,Inert Anode + Grid,2020,Europe,2.74,,3.65,,
Aluminium,Inert Anode + Coal,2020,Europe,17.95,,0,,
Aluminium,Inert Anode + Natural gas,2020,Europe,11.1,,0,,
Aluminium,Inert Anode + Coal+CCS,2020,Europe,4.26,,0,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,Europe,3.57,,0,,
Aluminium,Inert Anode + Hydro,2020,Europe,2.74,,0,,
Aluminium,Inert Anode + Small Modular Reactor,2020,Europe,2.74,,0,,
Aluminium,Carbon Anode + PPA+Grid,2020,Middle East,2.74,,2.17,,
Aluminium,Carbon Anode + Grid,2020,Middle East,2.74,,4.34,,
Aluminium,Carbon Anode + Coal,2020,Middle East,17.59,,0,,
Aluminium,Carbon Anode + Natural gas,2020,Middle East,10.9,,0,,
Aluminium,Carbon Anode + Coal+CCS,2020,Middle East,4.22,,0,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,Middle East,3.55,,0,,
Aluminium,Carbon Anode + Hydro,2020,Middle East,2.74,,0,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,Middle East,2.74,,0,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,Middle East,3.2,,2.17,,
Aluminium,Carbon Anode+CCS + Grid,2020,Middle East,3.2,,4.34,,
Aluminium,Carbon Anode+CCS + Coal,2020,Middle East,18.05,,0,,
Aluminium,Carbon Anode+CCS + Natural gas,2020,Middle East,11.36,,0,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,Middle East,4.68,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,Middle East,4.01,,0,,
Aluminium,Carbon Anode+CCS + Hydro,2020,Middle East,3.2,,0,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,Middle East,3.2,,0,,
Aluminium,Inert Anode + PPA+Grid,2020,Middle East,2.74,,2.17,,
Aluminium,Inert Anode + Grid,2020,Middle East,2.74,,4.34,,
Aluminium,Inert Anode + Coal,2020,Middle East,17.59,,0,,
Aluminium,Inert Anode + Natural gas,2020,Middle East,10.9,,0,,
Aluminium,Inert Anode + Coal+CCS,2020,Middle East,4.22,,0,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,Middle East,3.55,,0,,
Aluminium,Inert Anode + Hydro,2020,Middle East,2.74,,0,,
Aluminium,Inert Anode + Small Modular Reactor,2020,Middle East,2.74,,0,,
Aluminium,Carbon Anode + PPA+Grid,2020,Africa,2.74,,3.24,,
Aluminium,Carbon Anode + Grid,2020,Africa,2.74,,6.48,,
Aluminium,Carbon Anode + Coal,2020,Africa,17.04,,0,,
Aluminium,Carbon Anode + Natural gas,2020,Africa,10.6,,0,,
Aluminium,Carbon Anode + Coal+CCS,2020,Africa,4.17,,0,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,Africa,3.52,,0,,
Aluminium,Carbon Anode + Hydro,2020,Africa,2.74,,0,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,Africa,2.74,,0,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,Africa,3.2,,3.24,,
Aluminium,Carbon Anode+CCS + Grid,2020,Africa,3.2,,6.48,,
Aluminium,Carbon Anode+CCS + Coal,2020,Africa,17.5,,0,,
Aluminium,Carbon Anode+CCS + Natural gas,2020,Africa,11.06,,0,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,Africa,4.63,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,Africa,3.98,,0,,
Aluminium,Carbon Anode+CCS + Hydro,2020,Africa,3.2,,0,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,Africa,3.2,,0,,
Aluminium,Inert Anode + PPA+Grid,2020,Africa,2.74,,3.24,,
Aluminium,Inert Anode + Grid,2020,Africa,2.74,,6.48,,
Aluminium,Inert Anode + Coal,2020,Africa,17.04,,0,,
Aluminium,Inert Anode + Natural gas,2020,Africa,10.6,,0,,
Aluminium,Inert Anode + Coal+CCS,2020,Africa,4.17,,0,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,Africa,3.52,,0,,
Aluminium,Inert Anode + Hydro,2020,Africa,2.74,,0,,
