product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Carbon Anode+CCS + Coal+CCS,China - South,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,China - South,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - South,60,7%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,China - South,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - South,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,China - South,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - South,30,7%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,China - South,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,China - South,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,China - South,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,China - South,60,7%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,China - South,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,China - South,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,China - South,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,China - South,30,7%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,Rest of Europe,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,Rest of Europe,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,Rest of Europe,0,9%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,Rest of Europe,60,7%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,Rest of Europe,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,Rest of Europe,0,9%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,Rest of Europe,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,Rest of Europe,30,8%,end-state,,2030,,2020
