,Unnamed: 0,product,technology_origin,region,switch_type,technology_destination,year,tco,lcox,switch_capex,salvage_value,marginal cost,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,greenfield_bau_score,greenfield_bau_score_binned,greenfield_bau_ranking
580,580,Ammonia,New-build,Europe,greenfield,Biomass Digestion + ammonia synthesis,2028,974.0053127,1979.037829,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0020038636885939543,1.0,0.0,0.0020038636885939543,1,5253.5
587,587,Ammonia,New-build,India,greenfield,Biomass Digestion + ammonia synthesis,2028,526.4580218,1069.686507,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.5320853787991678,1.0,0.0,0.5320853787991678,6,4939.0
594,594,Ammonia,New-build,Latin America,greenfield,Biomass Digestion + ammonia synthesis,2028,611.2054001,1241.880914,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.43170935238959096,1.0,0.0,0.43170935238959096,5,5107.5
601,601,Ammonia,New-build,Middle East,greenfield,Biomass Digestion + ammonia synthesis,2028,967.8835963,1966.599387,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.009254513553692334,1.0,0.0,0.009254513553692334,1,5189.0
608,608,Ammonia,New-build,North America,greenfield,Biomass Digestion + ammonia synthesis,2028,597.1503431,1213.323072,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4483563661488368,1.0,0.0,0.4483563661488368,5,5054.0
615,615,Ammonia,New-build,Oceania,greenfield,Biomass Digestion + ammonia synthesis,2028,675.4161449,1372.347854,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.3556572131362945,1.0,0.0,0.3556572131362945,4,5158.0
622,622,Ammonia,New-build,Rest of Asia,greenfield,Biomass Digestion + ammonia synthesis,2028,589.6784091,1198.141184,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4572062333607717,1.0,0.0,0.4572062333607717,5,5036.5
629,629,Ammonia,New-build,Russia,greenfield,Biomass Digestion + ammonia synthesis,2028,974.0053127,1979.037829,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0020038636885939543,1.0,0.0,0.0020038636885939543,1,5253.5
636,636,Ammonia,New-build,Africa,greenfield,Biomass Digestion + ammonia synthesis,2029,611.0625845,1241.590733,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.43187850526163096,1.0,0.0,0.43187850526163096,5,5101.5
643,643,Ammonia,New-build,China,greenfield,Biomass Digestion + ammonia synthesis,2029,589.4013259,1197.578191,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4575344147294319,1.0,0.0,0.4575344147294319,5,5034.5
650,650,Ammonia,New-build,Europe,greenfield,Biomass Digestion + ammonia synthesis,2029,973.8888374,1978.801168,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.00214181872653596,1.0,0.0,0.00214181872653596,1,5251.5
657,657,Ammonia,New-build,India,greenfield,Biomass Digestion + ammonia synthesis,2029,526.3152062,1069.396326,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.5322545316712077,1.0,0.0,0.5322545316712077,6,4936.0
664,664,Ammonia,New-build,Latin America,greenfield,Biomass Digestion + ammonia synthesis,2029,611.0625845,1241.590733,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.43187850526163096,1.0,0.0,0.43187850526163096,5,5101.5
671,671,Ammonia,New-build,Middle East,greenfield,Biomass Digestion + ammonia synthesis,2029,967.7407807,1966.309206,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.009423666425732335,1.0,0.0,0.009423666425732335,1,5186.0
678,678,Ammonia,New-build,North America,greenfield,Biomass Digestion + ammonia synthesis,2029,597.1653759,1213.353617,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4483385610820598,1.0,0.0,0.4483385610820598,5,5055.0
685,685,Ammonia,New-build,Oceania,greenfield,Biomass Digestion + ammonia synthesis,2029,675.2733293,1372.057674,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.3558263660083344,1.0,0.0,0.3558263660083344,4,5155.0
