,Unnamed: 0,product,technology_origin,region,switch_type,technology_destination,year,tco,lcox,switch_capex,salvage_value,marginal cost,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,decommission_bau_score,decommission_bau_score_binned,decommission_bau_ranking
5630,5630,Ammonia,Natural Gas ATR + CCS + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.08415,0.0,0.34038,0.0,0.0,1.42453,0.9120734169243769,0.0,6,2480.5
5631,5631,Ammonia,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.865062,0.141504194,0.42456,0.0,0.0,2.431126194,0.7035921226098479,0.0,6,2480.5
5632,5632,Ammonia,Natural Gas SMR + CCS + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.112761,0.0,0.36966,0.0,0.0,1.482421,0.9000833153512704,0.0,6,2480.5
5633,5633,Ammonia,Coal Gasification+ CCS + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.261569,0.0,0.48548192,0.0,0.0,1.74705092,0.8452744569780684,0.0,6,2480.5
5634,5634,Ammonia,Electrolyser + SMR + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,1.4448555,0.0,0.314211,0.0,0.0,2.7590665000000003,0.6356707258667338,0.0,6,2480.5
5635,5635,Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,3.05558,0.0,0.412659632,0.0,0.0,4.4682396319999995,0.2816751227729104,0.0,6,2480.5
5636,5636,Ammonia,GHR + CCS + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.09246402,0.0,0.3031212,0.0,0.0,1.39558522,0.9180683185880417,0.0,6,2480.5
5637,5637,Ammonia,Electrolyser - grid PPA + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5638,5638,Ammonia,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5639,5639,Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5640,5640,Ammonia,Biomass Digestion + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5641,5641,Ammonia,Biomass Gasification + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5642,5642,Ammonia,ESMR Gas + CCS + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.057222,0.0,0.24888,0.0,0.0,1.306102,0.9366016466854772,0.0,6,2480.5
5643,5643,Ammonia,Methane Pyrolysis + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,2.27205,0.0,0.4941,0.0,0.0,3.76615,0.4270885031101812,0.0,6,2480.5
5644,5644,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,1.95228,0.101074424,0.19836,0.0,0.0,3.251714424,0.5336358905980383,0.0,6,2480.5
5645,5645,Ammonia,Coal Gasification + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,3.5948,0.747950739,0.48548192,0.0,0.0,5.828232659,0.0,0.0,6,2480.5
5646,5646,Ammonia,Natural Gas ATR + CCS + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.08415,0.0,0.15903,0.0,0.0,1.24318,0.9496337444413115,0.0,6,2480.5
5647,5647,Ammonia,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.865062,0.141504194,0.19836,0.0,0.0,2.204926194,0.7504415633836587,0.0,6,2480.5
5648,5648,Ammonia,Natural Gas SMR + CCS + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.112761,0.0,0.17271,0.0,0.0,1.285471,0.9408746387836403,0.0,6,2480.5
5649,5649,Ammonia,Coal Gasification+ CCS + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.261569,0.0,0.48548192,0.0,0.0,1.74705092,0.8452744569780684,0.0,6,2480.5
5650,5650,Ammonia,Electrolyser + SMR + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,1.4448555,0.0,0.1468035,0.0,0.0,2.591659,0.6703433507842481,0.0,6,2480.5
5651,5651,Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,3.05558,0.0,0.412659632,0.0,0.0,4.4682396319999995,0.2816751227729104,0.0,6,2480.5
5652,5652,Ammonia,GHR + CCS + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.09246402,0.0,0.1416222,0.0,0.0,1.23408622,0.951517203802585,0.0,6,2480.5
5653,5653,Ammonia,Electrolyser - grid PPA + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5654,5654,Ammonia,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5655,5655,Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5656,5656,Ammonia,Biomass Digestion + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5657,5657,Ammonia,Biomass Gasification + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5658,5658,Ammonia,ESMR Gas + CCS + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.057222,0.0,0.11628,0.0,0.0,1.173502,0.9640651119666767,0.0,6,2480.5
5659,5659,Ammonia,Methane Pyrolysis + ammonia synthesis,Latin America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,2.27205,0.0,0.23085,0.0,0.0,3.5029000000000003,0.4816115591831507,0.0,6,2480.5
5660,5660,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,1.95228,0.101074424,0.18444,0.0,0.0,3.237794424,0.536518933107196,0.0,6,2480.5
5661,5661,Ammonia,Coal Gasification + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,3.5948,0.747950739,0.48548192,0.0,0.0,5.828232659,0.0,0.0,6,2480.5
5662,5662,Ammonia,Natural Gas ATR + CCS + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.08415,0.0,0.14787,0.0,0.0,1.23202,0.9519451492115845,0.0,6,2480.5
5663,5663,Ammonia,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.865062,0.141504194,0.18444,0.0,0.0,2.191006194,0.7533246058928165,0.0,6,2480.5
5664,5664,Ammonia,Natural Gas SMR + CCS + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.112761,0.0,0.16059,0.0,0.0,1.273351,0.9433848740717862,0.0,6,2480.5
5665,5665,Ammonia,Coal Gasification+ CCS + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.261569,0.0,0.48548192,0.0,0.0,1.74705092,0.8452744569780684,0.0,6,2480.5
5666,5666,Ammonia,Electrolyser + SMR + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,1.4448555,0.0,0.1365015,0.0,0.0,2.581357,0.6724770507791721,0.0,6,2480.5
5667,5667,Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,3.05558,0.0,0.412659632,0.0,0.0,4.4682396319999995,0.2816751227729104,0.0,6,2480.5
5668,5668,Ammonia,GHR + CCS + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.09246402,0.0,0.1316838,0.0,0.0,1.22414782,0.9535755967388646,0.0,6,2480.5
5669,5669,Ammonia,Electrolyser - grid PPA + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5670,5670,Ammonia,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5671,5671,Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5672,5672,Ammonia,Biomass Digestion + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5673,5673,Ammonia,Biomass Gasification + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5674,5674,Ammonia,ESMR Gas + CCS + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.057222,0.0,0.10812,0.0,0.0,1.1653419999999999,0.9657551713685967,0.0,6,2480.5
5675,5675,Ammonia,Methane Pyrolysis + ammonia synthesis,Middle East,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,2.27205,0.0,0.21465,0.0,0.0,3.4867,0.48496682417225667,0.0,6,2480.5
5676,5676,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,1.95228,0.052720107,0.53244,0.0,0.0,3.537440107,0.47445778068086264,0.0,6,2480.5
5677,5677,Ammonia,Coal Gasification + ammonia synthesis,North America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,3.5948,0.390128789,0.48548192,0.0,0.0,5.470410709,0.07411033710917114,0.0,6,2480.5
5678,5678,Ammonia,Natural Gas ATR + CCS + ammonia synthesis,North America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.08415,0.0,0.42687,0.0,0.0,1.51102,0.894160029954762,0.0,6,2480.5
5679,5679,Ammonia,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,North America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.865062,0.073808149,0.53244,0.0,0.0,2.471310149,0.6952694178360638,0.0,6,2480.5
5680,5680,Ammonia,Natural Gas SMR + CCS + ammonia synthesis,North America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.112761,0.0,0.46359,0.0,0.0,1.576351,0.8806289918681403,0.0,6,2480.5
5681,5681,Ammonia,Coal Gasification+ CCS + ammonia synthesis,North America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.261569,0.0,0.48548192,0.0,0.0,1.74705092,0.8452744569780684,0.0,6,2480.5
5682,5682,Ammonia,Electrolyser + SMR + ammonia synthesis,North America,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,1.4448555,0.0,0.3940515,0.0,0.0,2.838907,0.6191345509060731,0.0,6,2480.5
