product,year,region,technology,ch4_scope1,co2_scope1,ch4_scope1_captured,co2_scope1_captured,ch4_scope2,co2_scope2,ch4_scope3_upstream,co2_scope3_upstream,co2e_scope1,co2e_scope1_captured,co2e_scope2,co2e_scope3_upstream
Clinker,2020,Africa,Dry kiln coal + post combustion + storage,0.0,0.08409765000000002,0.0,-0.75687885,0.0,0.031134992737027436,0.00107406,0.0,0.08409765000000002,-0.75687885,0.031134992737027436,0.032006988
Clinker,2020,Africa,Dry kiln coal + post combustion + usage,0.0,0.16819529999999994,0.0,-0.6727812000000001,0.0,0.031134992737027436,0.00107406,0.0,0.16819529999999994,-0.6727812000000001,0.031134992737027436,0.032006988
Clinker,2020,Africa,Dry kiln natural gas,0.0,0.719355,0.0,-0.0,0.0,0.031134992737027436,0.005348673548265785,0.03251293671575569,0.719355,-0.0,0.031134992737027436,0.1919034084540761
Clinker,2020,Africa,Dry kiln natural gas + direct separation + storage,0.0,0.07193549999999993,0.0,-0.6474195,0.0,0.031134992737027436,0.005348673548265785,0.03251293671575569,0.07193549999999993,-0.6474195,0.031134992737027436,0.1919034084540761
Clinker,2020,Africa,Dry kiln natural gas + direct separation + usage,0.0,0.07193549999999993,0.0,-0.6474195,0.0,0.031134992737027436,0.005348673548265785,0.03251293671575569,0.07193549999999993,-0.6474195,0.031134992737027436,0.1919034084540761
Clinker,2020,Africa,Dry kiln natural gas + oxyfuel + storage,0.0,0.07193549999999993,0.0,-0.6474195,0.0,0.031134992737027436,0.005348673548265785,0.03251293671575569,0.07193549999999993,-0.6474195,0.031134992737027436,0.1919034084540761
Clinker,2020,Africa,Dry kiln natural gas + oxyfuel + usage,0.0,0.07193549999999993,0.0,-0.6474195,0.0,0.031134992737027436,0.005348673548265785,0.03251293671575569,0.07193549999999993,-0.6474195,0.031134992737027436,0.1919034084540761
Clinker,2020,Africa,Dry kiln natural gas + post combustion + storage,0.0,0.07193549999999993,0.0,-0.6474195,0.0,0.031134992737027436,0.005348673548265785,0.03251293671575569,0.07193549999999993,-0.6474195,0.031134992737027436,0.1919034084540761
Clinker,2020,Africa,Dry kiln natural gas + post combustion + usage,0.0,0.14387099999999997,0.0,-0.575484,0.0,0.031134992737027436,0.005348673548265785,0.03251293671575569,0.14387099999999997,-0.575484,0.031134992737027436,0.1919034084540761
Clinker,2020,Africa,Dry kiln reference plant,0.0,0.8421348,0.0,-0.0,0.0,0.031134992737027436,0.001002456,0.0,0.8421348,-0.0,0.031134992737027436,0.029873188800000002
Clinker,2020,China,Dry kiln alternative fuels + direct separation + storage,0.0,0.08404924999999996,0.0,-0.7564432499999998,0.0,0.047970048416316614,0.00011389999999999998,0.0,0.08404924999999996,-0.7564432499999998,0.047970048416316614,0.0033942199999999994
Clinker,2020,China,Dry kiln alternative fuels + direct separation + usage,0.0,0.08404924999999996,0.0,-0.7564432499999998,0.0,0.047970048416316614,0.00011389999999999998,0.0,0.08404924999999996,-0.7564432499999998,0.047970048416316614,0.0033942199999999994
Clinker,2020,China,Dry kiln alternative fuels + oxyfuel + storage,0.0,0.08404924999999996,0.0,-0.7564432499999998,0.0,0.047970048416316614,0.00011389999999999998,0.0,0.08404924999999996,-0.7564432499999998,0.047970048416316614,0.0033942199999999994
