region,year,value
Europe,2028,277149.06082348543
India,2028,4967.222232828571
Middle East,2028,11986.709946230254
Africa,2028,2300.7824277476166
Latin America,2028,8831.295965940077
Oceania,2028,6494.912893861546
China,2029,93691.03926020394
Rest of Asia,2029,34026.58055093832
North America,2029,293275.1502046234
Russia,2029,3506.0568866214353
Europe,2029,484378.44891181245
India,2029,9858.690367099127
Middle East,2029,19429.23173430243
Africa,2029,4566.476089456093
Latin America,2029,14544.993604387566
Oceania,2029,10808.797860019724
China,2030,338716.4829237419
Rest of Asia,2030,86208.54678083782
North America,2030,330045.80909519095
Russia,2030,15443.690513586644
Europe,2030,556949.6892050412
India,2030,43426.153032409835
Middle East,2030,41383.83697344384
Africa,2030,20114.688878083805
Latin America,2030,25120.62558618797
Oceania,2030,25211.060234062774
China,2031,663327.2372615638
Rest of Asia,2031,158108.31177085458
North America,2031,382456.2217525922
Russia,2031,32458.786881702294
Europe,2031,647868.7301747036
India,2031,91270.94622435712
Middle East,2031,72676.44784936453
Africa,2031,42276.06082309664
Latin America,2031,40194.41683721044
Oceania,2031,45739.07188787049
China,2032,1070007.602011884
Rest of Asia,2032,252630.24837279727
North America,2032,453441.766643508
Russia,2032,55504.3197409359
Europe,2032,756553.9023709621
India,2032,156072.73927881318
Middle East,2032,115059.6866268776
Africa,2032,72291.79592769018
Latin America,2032,60610.61337663314
Oceania,2032,73542.55632708014
China,2033,1556155.7729596444
Rest of Asia,2033,371658.41557945
North America,2033,545105.1252911369
Russia,2033,85262.92689043145
Europe,2033,881595.7996976876
India,2033,239751.04317699425
Middle East,2033,169788.99838579097
Africa,2033,111050.99818770803
Latin America,2033,86973.96873988921
Oceania,2033,109445.08788785689
China,2034,2115467.484473112
Rest of Asia,2034,515896.20503583807
North America,2034,658491.969615348
Russia,2034,122074.0868342472
Europe,2034,1021113.0268879421
India,2034,343260.438396635
Middle East,2034,237488.72097870355
Africa,2034,158995.82257147983
Latin America,2034,119585.22927561367
Oceania,2034,153856.23337703847
China,2035,2739527.2659837683
Rest of Asia,2035,684931.8221847498
North America,2035,793596.7507085921
Russia,2035,165935.99811362894
Europe,2035,1173053.0691232735
India,2035,466595.8594112365
Middle East,2035,318155.54132724175
Africa,2035,216123.9227627327
Latin America,2035,158442.79905906884
Oceania,2035,206773.81940897368
China,2036,3419154.230120598
Rest of Asia,2036,877465.5513701943
North America,2036,949543.1119464138
Russia,2036,216564.15061575966
Europe,2036,1335402.9811598095
India,2036,608957.2915036174
Middle East,2036,411266.2144225009
Africa,2036,282064.7375671102
Latin America,2036,203294.6286186193
Oceania,2036,267854.59627263073
China,2037,4145344.483999672
Rest of Asia,2037,1091601.7482261125
North America,2037,1124843.5906766716
Russia,2037,273475.63800415234
Europe,2037,1506314.9995807162
India,2037,768986.8491055481
Middle East,2037,515932.6230449086
Africa,2037,356189.3039328636
Latin America,2037,253712.9078994457
Oceania,2037,336515.95739978127
China,2038,4909832.992130995
Rest of Asia,2038,1325125.573582019
North America,2038,1317656.9631392525
Russia,2038,336072.7050213093
Europe,2038,1684167.2861313685
India,2038,945003.7026727438
Middle East,2038,631055.4303310569
Africa,2038,437719.0734282415
Latin America,2038,309168.08139532077
Oceania,2038,412036.7357381462
China,2039,5705365.2810189985
Rest of Asia,2039,1575722.3625460276
North America,2039,1525998.195738489
Russia,2039,403710.9083932381
Europe,2039,1867581.134177752
India,2039,1135195.74050739
Middle East,2039,755449.4350826477
Africa,2039,525814.688650651
Latin America,2039,369089.23236412776
Oceania,2039,493639.4370700891
China,2040,6525774.403555304
Rest of Asia,2040,1841130.166836135
North America,2040,1747888.4797764276
Russia,2040,475747.82576562825
Europe,2040,2055411.9224856507
India,2040,1337756.5335409173
Middle East,2040,887933.1527922467
Africa,2040,619639.4243514277
Latin America,2040,432907.2344104376
Oceania,2040,580549.0053341786
China,2041,7365940.475323321
Rest of Asia,2041,2119234.0409115157
North America,2041,1981451.3014213387
Russia,2041,551574.2449215926
Europe,2041,2246726.1909654974
India,2041,1550973.0363755
Middle East,2041,1027386.1760033536
Africa,2041,718399.8099418782
Latin America,2041,500082.3822286641
Oceania,2041,672030.4511293944
China,2042,8221688.134532422
Rest of Asia,2042,2408116.4741014666
North America,2042,2224966.980092927
Russia,2042,630631.8697265947
Europe,2042,2440772.990575807
India,2042,1773275.3746760844
Middle East,2042,1172781.7374668375
Africa,2042,821368.6906633544
Latin America,2042,570120.0774218199
Oceania,2042,767410.213207061
China,2043,9089658.390295293
Rest of Asia,2043,2706077.6561649255
North America,2043,2476898.026412893
