product,technology_destination,year,region,technology_origin,switch_type,tco,lcox,switch_capex,marginal_cost,technology_classification,co2_scope1_origin,co2_scope2_origin,co2_scope3_upstream_origin,co2_scope3_downstream_origin,ch4_scope1_origin,ch4_scope2_origin,ch4_scope3_upstream_origin,ch4_scope3_downstream_origin,n2o_scope1_origin,n2o_scope2_origin,n2o_scope3_upstream_origin,n2o_scope3_downstream_origin,co2_scope1_destination,co2_scope2_destination,co2_scope3_upstream_destination,co2_scope3_downstream_destination,ch4_scope1_destination,ch4_scope2_destination,ch4_scope3_upstream_destination,ch4_scope3_downstream_destination,n2o_scope1_destination,n2o_scope2_destination,n2o_scope3_upstream_destination,n2o_scope3_downstream_destination,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,delta_ch4_scope1,delta_ch4_scope2,delta_ch4_scope3_upstream,delta_ch4_scope3_downstream,delta_n2o_scope1,delta_n2o_scope2,delta_n2o_scope3_upstream,delta_n2o_scope3_downstream,cost_digitized,cost_normalized,sum_emissions_delta,emissions_delta_normalized,rank
Ammonia,Biomass Digestion + ammonia synthesis,2032,Africa,New-build,greenfield,507.2014144887459,1030.5598674677324,3413.1078416928403,760.228787549684,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.7391304347826086,-0.0,0.0,0.591304347826087
Ammonia,Biomass Digestion + ammonia synthesis,2032,China,New-build,greenfield,521.9773432370304,1060.5824161782753,3413.1078416928403,781.6815172768073,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.7391304347826086,-0.0,0.0,0.591304347826087
Ammonia,Biomass Digestion + ammonia synthesis,2032,Europe,New-build,greenfield,856.5631863343227,1740.4124250643724,3413.1078416928403,1431.433170293296,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.9565217391304348,-0.0,0.0,0.7652173913043478
Ammonia,Biomass Digestion + ammonia synthesis,2032,India,New-build,greenfield,437.5193483773199,888.9759941477924,3413.1078416928403,620.9100448610891,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.6521739130434783,-0.0,0.0,0.5217391304347826
Ammonia,Biomass Digestion + ammonia synthesis,2032,Latin America,New-build,greenfield,498.3765596021904,1012.6290395510204,3413.1078416928403,736.1955202457272,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.7391304347826086,-0.0,0.0,0.591304347826087
Ammonia,Biomass Digestion + ammonia synthesis,2032,Middle East,New-build,greenfield,865.0919995491953,1757.7417391500514,3413.1078416928403,1453.9996108541925,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.9565217391304348,-0.0,0.0,0.7652173913043478
Ammonia,Biomass Digestion + ammonia synthesis,2032,North America,New-build,greenfield,484.1949798146771,983.8141219092104,3413.1078416928403,694.3618873836889,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.6956521739130435,-0.0,0.0,0.5565217391304348
Ammonia,Biomass Digestion + ammonia synthesis,2032,Oceania,New-build,greenfield,564.0595980655154,1146.0874674654483,3413.1078416928403,869.0429909918928,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.782608695652174,-0.0,0.0,0.6260869565217392
Ammonia,Biomass Digestion + ammonia synthesis,2032,Rest of Asia,New-build,greenfield,478.881728757968,973.0183647436978,3413.1078416928403,699.7172222243623,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.6956521739130435,-0.0,0.0,0.5565217391304348
Ammonia,Biomass Digestion + ammonia synthesis,2032,Russia,New-build,greenfield,894.6785747654877,1817.857377952953,3413.1078416928403,1501.9163762142025,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1.0,-0.0,0.0,0.8
