sector,product,region,technology,parameter_group,parameter,unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
chemicals,Ammonia,Africa,Biomass Gasification + ammonia synthesis,Cost,Variable OPEX,USD/tpa,276.38940025957163,276.3632018112818,276.337003362992,276.3108049147022,276.2846064664124,276.25840801812257,274.32223684441107,272.3860656706995,270.44989449698795,268.51372332327645,266.5775521495649,266.27718426045294,265.976816371341,265.676448482229,265.376080593117,265.075712704005,264.90364845432447,264.73158420464387,264.5595199549632,264.38745570528266,264.215391455602,264.2964900690606,264.3775886825192,264.4586872959778,264.53978590943643,264.62088452289504,265.21128521646096,265.801685910027,266.39208660359293,266.98248729715885,267.57288799072484
chemicals,Ammonia,Africa,Biomass Gasification + ammonia synthesis,Energy,Electricity - PPA,GJ/tNH3,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208
chemicals,Ammonia,Africa,Biomass Gasification + ammonia synthesis,Energy,Steam,GJ/tNH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemicals,Ammonia,Africa,Biomass Gasification + ammonia synthesis,Raw material,Dry biomass,GJ/tNH3,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308,29.907692307692308
chemicals,Ammonia,Africa,Coal Gasification + ammonia synthesis,Cost,Fixed OPEX,USD/tpa,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75,108.75
chemicals,Ammonia,Africa,Coal Gasification + ammonia synthesis,Cost,Greenfield CAPEX,USD/tpa,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0,2175.0
chemicals,Ammonia,Africa,Coal Gasification + ammonia synthesis,Cost,Total OPEX,USD/tpa,261.59373472573543,260.30857922563985,259.0234237255444,257.7382682254489,256.4531127253534,255.16795722525788,252.4272130978276,249.68646897039724,246.94572484296697,244.2049807155367,241.4642365881064,242.29612113846937,243.1280056888324,243.95989023919543,244.7917747895585,245.62365933992152,246.1576258326731,246.69159232542455,247.2255588181761,247.7595253109276,248.2934918036792,247.24336513777655,246.19323847187405,245.14311180597144,244.09298514006883,243.04285847416625,242.60603069844373,242.16920292272133,241.7323751469988,241.29554737127637,240.8587195955539
chemicals,Ammonia,Africa,Coal Gasification + ammonia synthesis,Cost,Variable OPEX,USD/tpa,152.8437347257354,151.55857922563987,150.2734237255444,148.98826822544888,147.70311272535338,146.41795722525788,143.67721309782758,140.93646897039724,138.19572484296697,135.4549807155367,132.71423658810636,133.54612113846937,134.37800568883242,135.20989023919546,136.0417747895585,136.87365933992152,137.4076258326731,137.94159232542458,138.4755588181761,139.0095253109276,139.5434918036792,138.49336513777658,137.44323847187405,136.39311180597142,135.34298514006883,134.29285847416625,133.85603069844373,133.41920292272133,132.9823751469988,132.54554737127634,132.1087195955539
chemicals,Ammonia,Africa,Coal Gasification + ammonia synthesis,Energy,Coal,GJ/tNH3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3
chemicals,Ammonia,Africa,Coal Gasification + ammonia synthesis,Energy,Electricity - grid,GJ/tNH3,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
chemicals,Ammonia,Africa,Coal Gasification + ammonia synthesis,Energy,Steam,GJ/tNH3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
chemicals,Ammonia,Africa,Coal Gasification + ammonia synthesis,Raw material,Coal,GJ/tNH3,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7
chemicals,Ammonia,Africa,Coal Gasification+ CCS + ammonia synthesis,Cost,Fixed OPEX,USD/tpa,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544,150.56544
chemicals,Ammonia,Africa,Coal Gasification+ CCS + ammonia synthesis,Cost,Greenfield CAPEX,USD/tpa,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0
chemicals,Ammonia,Africa,Coal Gasification+ CCS + ammonia synthesis,Cost,Total OPEX,USD/tpa,679.0715060821304,677.3154447302948,675.5593833784591,673.8033220266235,672.0472606747878,670.2911993229523,666.8538239522595,663.4164485815667,659.9790732108739,656.5416978401811,653.1043224694884,652.4353096877122,651.7662969059362,651.0972841241601,650.4282713423839,649.7592585606078,649.2031891234017,648.6471196861953,648.0910502489892,647.5349808117828,646.9789113745767,646.6456965704156,646.3124817662543,645.9792669620932,645.646052157932,645.3128373537709,645.4279518454789,645.5430663371868,645.6581808288948,645.7732953206029,645.8884098123109
