product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Inert Anode + Hydro,China - North,60,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,China - North,40,0.05,end-state,,2035,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,China - North East,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,China - North East,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,China - North East,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - North East,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - North East,40,0.05,end-state,,2035,,2020
Aluminium,Inert Anode + PPA+Grid,China - North East,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,China - North East,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,China - North East,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,China - North East,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,China - North East,60,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,China - North East,40,0.05,end-state,,2035,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,China - North West,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,China - North West,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,China - North West,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - North West,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - North West,40,0.05,end-state,,2035,,2020
Aluminium,Inert Anode + PPA+Grid,China - North West,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,China - North West,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,China - North West,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,China - North West,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,China - North West,60,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,China - North West,40,0.05,end-state,,2035,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,China - South,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,China - South,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,China - South,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - South,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - South,40,0.05,end-state,,2035,,2020
Aluminium,Inert Anode + PPA+Grid,China - South,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,China - South,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,China - South,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,China - South,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,China - South,60,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,China - South,40,0.05,end-state,,2035,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,Europe,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,Europe,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,Europe,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Europe,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Europe,40,0.05,end-state,,2035,,2020
Aluminium,Inert Anode + PPA+Grid,Europe,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,Europe,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,Europe,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,Europe,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,Europe,60,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,Europe,40,0.05,end-state,,2035,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,Middle East,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,Middle East,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,Middle East,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Middle East,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Middle East,40,0.05,end-state,,2035,,2020
Aluminium,Inert Anode + PPA+Grid,Middle East,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,Middle East,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,Middle East,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,Middle East,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,Middle East,60,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,Middle East,40,0.05,end-state,,2035,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,North America,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,North America,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,North America,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,North America,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,North America,40,0.05,end-state,,2035,,2020
Aluminium,Inert Anode + PPA+Grid,North America,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,North America,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,North America,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,North America,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,North America,60,0.05,end-state,,2030,,2020
