product,technology,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream,
Aluminium,Inert Anode + Coal,2020,Rest of Asia,25.2004611,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas,2020,Rest of Asia,7.6173548,,0.0000000,,,
Aluminium,Inert Anode + Coal+CCS,2020,Rest of Asia,2.5764829,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,Rest of Asia,0.8181723,,0.0000000,,,
Aluminium,Inert Anode + Hydro,2020,Rest of Asia,0.0627075,,0.0000000,,,
Aluminium,Inert Anode + Small Modular Reactor,2020,Rest of Asia,0.0627075,,0.0000000,,,
Aluminium,Carbon Anode + PPA+Grid,2020,US,2.0927075,,5.9200387,,,
Aluminium,Carbon Anode + Grid,2020,US,2.0927075,,5.9200387,,,
Aluminium,Carbon Anode + Coal,2020,Oceania,26.6006665,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas,2020,US,10.0000200,,0.0000000,,,
Aluminium,Carbon Anode + Coal+CCS,2020,US,4.7238307,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,US,2.8834388,,0.0000000,,,
Aluminium,Carbon Anode + Hydro,2020,US,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,US,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,US,1.1354857,,5.9200387,,,
Aluminium,Carbon Anode+CCS + Grid,2020,US,1.1354857,,5.9200387,,,
Aluminium,Carbon Anode+CCS + Coal,2020,US,27.4467171,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,US,9.0427981,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,US,3.7666088,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,US,1.9262169,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Hydro,2020,US,1.1354857,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,US,1.1354857,,0.0000000,,,
Aluminium,Inert Anode + PPA+Grid,2020,US,0.0627075,,5.9200387,,,
Aluminium,Inert Anode + Grid,2020,US,0.0627075,,5.9200387,,,
Aluminium,Inert Anode + Coal,2020,US,26.3739390,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas,2020,US,7.9700200,,0.0000000,,,
Aluminium,Inert Anode + Coal+CCS,2020,US,2.6938307,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,US,0.8534388,,0.0000000,,,
Aluminium,Inert Anode + Hydro,2020,US,0.0627075,,0.0000000,,,
Aluminium,Inert Anode + Small Modular Reactor,2020,US,0.0627075,,0.0000000,,,
Aluminium,Carbon Anode + PPA+Grid,2020,Russia,2.0927075,,5.0514485,,,
Aluminium,Carbon Anode + Grid,2020,Russia,2.0927075,,5.0514485,,,
Aluminium,Carbon Anode + Coal,2020,Rest of Asia,27.2304611,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas,2020,Russia,9.9573957,,0.0000000,,,
Aluminium,Carbon Anode + Coal+CCS,2020,Russia,4.7096477,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,Russia,2.8791764,,0.0000000,,,
Aluminium,Carbon Anode + Hydro,2020,Russia,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,Russia,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,Russia,1.1354857,,5.0514485,,,
Aluminium,Carbon Anode+CCS + Grid,2020,Russia,1.1354857,,5.0514485,,,
Aluminium,Carbon Anode+CCS + Coal,2020,Russia,27.3048867,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,Russia,9.0001738,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,Russia,3.7524258,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,Russia,1.9219545,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Hydro,2020,Russia,1.1354857,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,Russia,1.1354857,,0.0000000,,,
Aluminium,Inert Anode + PPA+Grid,2020,Russia,0.0627075,,5.0514485,,,
Aluminium,Inert Anode + Grid,2020,Russia,0.0627075,,5.0514485,,,
Aluminium,Inert Anode + Coal,2020,Russia,26.2321086,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas,2020,Russia,7.9273957,,0.0000000,,,
Aluminium,Inert Anode + Coal+CCS,2020,Russia,2.6796477,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,Russia,0.8491764,,0.0000000,,,
Aluminium,Inert Anode + Hydro,2020,Russia,0.0627075,,0.0000000,,,
Aluminium,Inert Anode + Small Modular Reactor,2020,Russia,0.0627075,,0.0000000,,,
Aluminium,Carbon Anode + PPA+Grid,2020,Rest of Europe,2.0927075,,3.6547734,,,
Aluminium,Carbon Anode + Grid,2020,Rest of Europe,2.0927075,,3.6547734,,,
Aluminium,Carbon Anode + Coal,2020,Rest of Europe,28.2621086,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas,2020,Rest of Europe,9.9573957,,0.0000000,,,
Aluminium,Carbon Anode + Coal+CCS,2020,Rest of Europe,4.7096477,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,Rest of Europe,2.8791764,,0.0000000,,,
Aluminium,Carbon Anode + Hydro,2020,Rest of Europe,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,Rest of Europe,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,Rest of Europe,1.1354857,,3.6547734,,,
Aluminium,Carbon Anode+CCS + Grid,2020,Rest of Europe,1.1354857,,3.6547734,,,
Aluminium,Carbon Anode+CCS + Coal,2020,Rest of Europe,27.3048867,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,Rest of Europe,9.0001738,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,Rest of Europe,3.7524258,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,Rest of Europe,1.9219545,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Hydro,2020,Rest of Europe,1.1354857,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,Rest of Europe,1.1354857,,0.0000000,,,
Aluminium,Inert Anode + PPA+Grid,2020,Rest of Europe,0.0627075,,3.6547734,,,
Aluminium,Inert Anode + Grid,2020,Rest of Europe,0.0627075,,3.6547734,,,
Aluminium,Inert Anode + Coal,2020,Rest of Europe,26.2321086,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas,2020,Rest of Europe,7.9273957,,0.0000000,,,
Aluminium,Inert Anode + Coal+CCS,2020,Rest of Europe,2.6796477,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,Rest of Europe,0.8491764,,0.0000000,,,
Aluminium,Inert Anode + Hydro,2020,Rest of Europe,0.0627075,,0.0000000,,,
Aluminium,Inert Anode + Small Modular Reactor,2020,Rest of Europe,0.0627075,,0.0000000,,,
Aluminium,Carbon Anode + PPA+Grid,2020,Middle East,2.0927075,,4.3440184,,,
Aluminium,Carbon Anode + Grid,2020,Middle East,2.0927075,,4.3440184,,,
Aluminium,Carbon Anode + Coal,2020,Middle East,27.6373793,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas,2020,Middle East,9.7696459,,0.0000000,,,
Aluminium,Carbon Anode + Coal+CCS,2020,Middle East,4.6471747,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,Middle East,2.8604014,,0.0000000,,,
Aluminium,Carbon Anode + Hydro,2020,Middle East,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,Middle East,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,Middle East,1.1354857,,4.3440184,,,
Aluminium,Carbon Anode+CCS + Grid,2020,Middle East,1.1354857,,4.3440184,,,
Aluminium,Carbon Anode+CCS + Coal,2020,Middle East,26.6801574,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,Middle East,8.8124240,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,Middle East,3.6899528,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,Middle East,1.9031795,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Hydro,2020,Middle East,1.1354857,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,Middle East,1.1354857,,0.0000000,,,
Aluminium,Inert Anode + PPA+Grid,2020,Middle East,0.0627075,,4.3440184,,,
Aluminium,Inert Anode + Grid,2020,Middle East,0.0627075,,4.3440184,,,
Aluminium,Inert Anode + Coal,2020,Middle East,25.6073793,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas,2020,Middle East,7.7396459,,0.0000000,,,
Aluminium,Inert Anode + Coal+CCS,2020,Middle East,2.6171747,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,Middle East,0.8304014,,0.0000000,,,
Aluminium,Inert Anode + Hydro,2020,Middle East,0.0627075,,0.0000000,,,
Aluminium,Inert Anode + Small Modular Reactor,2020,Middle East,0.0627075,,0.0000000,,,
Aluminium,Carbon Anode + PPA+Grid,2020,Africa,2.0927075,,6.4791920,,,
Aluminium,Carbon Anode + Grid,2020,Africa,2.0927075,,6.4791920,,,
Aluminium,Carbon Anode + Coal,2020,Africa,26.6884663,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas,2020,Africa,9.4844691,,0.0000000,,,
Aluminium,Carbon Anode + Coal+CCS,2020,Africa,4.5522834,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,Africa,2.8318837,,0.0000000,,,
Aluminium,Carbon Anode + Hydro,2020,Africa,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,Africa,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,Africa,1.1354857,,6.4791920,,,
Aluminium,Carbon Anode+CCS + Grid,2020,Africa,1.1354857,,6.4791920,,,
Aluminium,Carbon Anode+CCS + Coal,2020,Africa,25.7312444,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,Africa,8.5272472,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,Africa,3.5950615,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,Africa,1.8746618,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Hydro,2020,Africa,1.1354857,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,Africa,1.1354857,,0.0000000,,,
Aluminium,Inert Anode + PPA+Grid,2020,Africa,0.0627075,,6.4791920,,,
Aluminium,Inert Anode + Grid,2020,Africa,0.0627075,,6.4791920,,,
Aluminium,Inert Anode + Coal,2020,Africa,24.6584663,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas,2020,Africa,7.4544691,,0.0000000,,,
Aluminium,Inert Anode + Coal+CCS,2020,Africa,2.5222834,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,Africa,0.8018837,,0.0000000,,,
Aluminium,Inert Anode + Hydro,2020,Africa,0.0627075,,0.0000000,,,
Aluminium,Inert Anode + Small Modular Reactor,2020,Africa,0.0627075,,0.0000000,,,
Aluminium,Carbon Anode + PPA+Grid,2020,South America,2.0927075,,3.5096070,,,
Aluminium,Carbon Anode + Grid,2020,South America,2.0927075,,3.5096070,,,
Aluminium,Carbon Anode + Coal,2020,Russia,28.2621086,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas,2020,South America,10.8048071,,0.0000000,,,
Aluminium,Carbon Anode + Coal+CCS,2020,South America,4.9916200,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,South America,2.9639175,,0.0000000,,,
Aluminium,Carbon Anode + Hydro,2020,South America,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,South America,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,South America,1.1354857,,3.5096070,,,
Aluminium,Carbon Anode+CCS + Grid,2020,South America,1.1354857,,3.5096070,,,
Aluminium,Carbon Anode+CCS + Coal,2020,South America,30.1246105,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,South America,9.8475852,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,South America,4.0343981,,0.0000000,,,
