product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Carbon Anode+CCS + Natural Gas,Middle East,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Middle East,30,0.0575,end-state,,2030,,
Aluminium,Carbon Anode+CCS + PPA+Grid,Middle East,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Middle East,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,Middle East,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,Middle East,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,Middle East,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,Middle East,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,Middle East,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,Middle East,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,Middle East,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,Middle East,15,0.05,end-state,,2035,,
Aluminium,Carbon Anode + Coal,North America,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + Coal+CCS,North America,30,0.06,transition,,2025,,
Aluminium,Carbon Anode + Grid,North America,70,0.05,transition,,2020,,
Aluminium,Carbon Anode + Hydro,North America,60,0.0495,transition,,2020,,
Aluminium,Carbon Anode + Natural Gas,North America,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + PPA+Grid,North America,70,0.05,transition,,2025,,
Aluminium,Carbon Anode+CCS + Coal,North America,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Coal+CCS,North America,30,0.06,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Grid,North America,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Hydro,North America,60,0.0495,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas,North America,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,North America,30,0.0575,end-state,,2030,,
Aluminium,Carbon Anode+CCS + PPA+Grid,North America,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,North America,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,North America,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,North America,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,North America,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,North America,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,North America,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,North America,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,North America,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,North America,15,0.05,end-state,,2035,,
Aluminium,Carbon Anode + Coal,Oceania,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + Coal+CCS,Oceania,30,0.06,transition,,2025,,
Aluminium,Carbon Anode + Grid,Oceania,70,0.05,transition,,2020,,
Aluminium,Carbon Anode + Hydro,Oceania,60,0.0495,transition,,2020,,
