,Unnamed: 0,product,technology_origin,region,switch_type,technology_destination,year,tco,lcox,switch_capex,salvage_value,marginal cost,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,decommission_bau_score,decommission_bau_score_binned,rank
72,72,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2023,135.645076,199.5661364,115,0,0,0.5074245,0.040930251,0.1383885,0,0.91046128,1.686743251,0.933824577,0.91046128,10,128
74,74,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2023,147.61297,223.8831648,115,0,0,0.5074245,0.083832707,0.110349,0,0.864294977,1.701606207,0.926325027,0.864294977,9,162.5
76,76,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2023,181.206366,292.1400837,115,0,0,0.5074245,0.08014437,0.110349,0,0.734708024,1.69791787,0.928186088,0.734708024,8,379
78,78,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2023,152.2342887,233.2730157,115,0,0,0.5074245,0.026838534,0.104922,0,0.846468181,1.639185034,0.957821501,0.846468181,9,221
80,80,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2024,185.6771277,301.2240244,110,0,0,0.5074245,0.078085468,0.0786915,0,0.717462004,1.664201468,0.94519871,0.717462004,7,459
82,82,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2024,198.7151564,327.7154116,110,0,0,0.5074245,0.076424499,0.1221075,0,0.667167642,1.705956499,0.924129957,0.667167642,7,680
84,84,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2024,192.2587227,314.5968729,110,0,0,0.5074245,0.024872755,0.103113,0,0.692073418,1.635410255,0.959726179,0.692073418,7,591
86,86,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2024,185.6771277,301.2240244,110,0,0,0.5074245,0.078085468,0.110349,0,0.717462004,1.695858968,0.929224969,0.717462004,7,459
88,88,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2024,185.6771277,301.2240244,110,0,0,0.5074245,0.078085468,0.0515565,0,0.717462004,1.637066468,0.958890487,0.717462004,7,459
90,90,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2024,148.1463,224.9668142,110,0,0,0.5074245,0.078085468,0.0479385,0,0.86223765,1.633448468,0.960716058,0.86223765,9,164.5
92,92,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2024,136.2564229,200.8083047,110,0,0,0.5074245,0.0370003,0.1383885,0,0.908103002,1.6828133,0.935807552,0.908103002,10,129
94,94,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2024,148.1463,224.9668142,110,0,0,0.5074245,0.078085468,0.110349,0,0.86223765,1.695858968,0.929224969,0.86223765,9,164.5
96,96,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2024,180.8421334,291.4000156,110,0,0,0.5074245,0.076424499,0.110349,0,0.736113056,1.694197999,0.930063061,0.736113056,8,366
98,98,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2024,152.7895313,234.4011883,110,0,0,0.5074245,0.024872755,0.104922,0,0.844326326,1.637219255,0.958813394,0.844326326,9,222
100,100,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2025,185.3050383,300.4679925,105,0,0,0.5074245,0.072338228,0.0786915,0,0.718897344,1.658454228,0.948098652,0.718897344,7,449
102,102,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2025,197.5969835,325.4434462,105,0,0,0.5074245,0.072704627,0.1221075,0,0.671481008,1.702236627,0.92600693,0.671481008,7,672
104,104,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2025,192.5558546,315.2006017,105,0,0,0.5074245,0.022906976,0.103113,0,0.690927227,1.633444476,0.960718072,0.690927227,7,597
106,106,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2025,185.3050383,300.4679925,105,0,0,0.5074245,0.072338228,0.110349,0,0.718897344,1.690111728,0.932124911,0.718897344,7,449
108,108,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2025,185.3050383,300.4679925,105,0,0,0.5074245,0.072338228,0.0515565,0,0.718897344,1.631319228,0.961790429,0.718897344,7,449
110,110,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2025,148.5652181,225.8179952,105,0,0,0.5074245,0.072338228,0.0479385,0,0.860621668,1.627701228,0.963616,0.860621668,9,166.5
112,112,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2025,136.8177635,201.9488676,105,0,0,0.5074245,0.033070348,0.1383885,0,0.905937624,1.678883348,0.937790527,0.905937624,10,130
114,114,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2025,148.5652181,225.8179952,105,0,0,0.5074245,0.072338228,0.110349,0,0.860621668,1.690111728,0.932124911,0.860621668,9,166.5
116,116,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2025,180.4225185,290.547419,105,0,0,0.5074245,0.072704627,0.110349,0,0.737731726,1.690478127,0.931940034,0.737731726,8,338
118,118,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2025,153.2581975,235.3534501,105,0,0,0.5074245,0.022906976,0.104922,0,0.84251844,1.635253476,0.959805287,0.84251844,9,223
120,120,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2026,184.8816426,299.6077138,100,0,0,0.5074245,0.066590989,0.0786915,0,0.720530598,1.652706989,0.950998593,0.720530598,7,442
122,122,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2026,196.5045375,323.2237541,100,0,0,0.5074245,0.068984756,0.1221075,0,0.675695133,1.698516756,0.927883902,0.675695133,7,663
124,124,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2026,192.7328796,315.560291,100,0,0,0.5074245,0.021350119,0.103113,0,0.690244351,1.631887619,0.961503631,0.690244351,7,601
126,126,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2026,184.8816426,299.6077138,100,0,0,0.5074245,0.066590989,0.110349,0,0.720530598,1.684364489,0.935024853,0.720530598,7,442
128,128,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2026,184.8816426,299.6077138,100,0,0,0.5074245,0.066590989,0.0515565,0,0.720530598,1.625571989,0.964690371,0.720530598,7,442
130,130,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2026,148.8628513,226.4227429,100,0,0,0.5074245,0.066590989,0.0479385,0,0.859473544,1.621953989,0.966515942,0.859473544,9,168.5
132,132,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2026,137.3254004,202.9803124,100,0,0,0.5074245,0.029162129,0.1383885,0,0.903979408,1.674975129,0.939762536,0.903979408,10,131
134,134,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2026,148.8628513,226.4227429,100,0,0,0.5074245,0.066590989,0.110349,0,0.859473544,1.684364489,0.935024853,0.859473544,9,168.5
136,136,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2026,179.9442202,289.5755861,100,0,0,0.5074245,0.068984756,0.110349,0,0.739576768,1.686758256,0.933817006,0.739576768,8,335
138,138,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2026,153.6348184,236.1186892,100,0,0,0.5074245,0.021350119,0.104922,0,0.84106562,1.633696619,0.960590846,0.84106562,9,224
140,140,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2027,184.4594801,298.7499406,95,0,0,0.5074245,0.06084375,0.0786915,0,0.722159095,1.64695975,0.953898535,0.722159095,7,436
142,142,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2027,195.4909169,321.1642236,95,0,0,0.5074245,0.065264885,0.1221075,0,0.679605187,1.694796885,0.929760875,0.679605187,7,645
144,144,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2027,192.7849577,315.6661061,95,0,0,0.5074245,0.019793261,0.103113,0,0.690043459,1.630330761,0.96228919,0.690043459,7,605
146,146,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2027,184.4594801,298.7499406,95,0,0,0.5074245,0.06084375,0.110349,0,0.722159095,1.67861725,0.937924795,0.722159095,7,436
148,148,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2027,184.4594801,298.7499406,95,0,0,0.5074245,0.06084375,0.0515565,0,0.722159095,1.61982475,0.967590313,0.722159095,7,436
150,150,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2027,149.0875404,226.8792785,95,0,0,0.5074245,0.06084375,0.0479385,0,0.858606803,1.61620675,0.969415883,0.858606803,9,170.5
152,152,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2027,137.743969,203.8307831,95,0,0,0.5074245,0.02525391,0.1383885,0,0.902364774,1.67106691,0.941734545,0.902364774,10,132
154,154,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2027,149.0875404,226.8792785,95,0,0,0.5074245,0.06084375,0.110349,0,0.858606803,1.67861725,0.937924795,0.858606803,9,170.5
156,156,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2027,179.4552722,288.5821145,95,0,0,0.5074245,0.065264885,0.110349,0,0.741462891,1.683038385,0.935693978,0.741462891,8,331
158,158,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2027,153.9162376,236.6904924,95,0,0,0.5074245,0.019793261,0.104922,0,0.839980042,1.632139761,0.961376405,0.839980042,9,225
160,160,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2028,184.0380168,297.8935881,90,0,0,0.5074245,0.055096511,0.0786915,0,0.723784895,1.641212511,0.956798477,0.723784895,7,432
162,162,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2028,194.5603171,319.2733795,90,0,0,0.5074245,0.061545013,0.1221075,0,0.683194988,1.691077013,0.931637848,0.683194988,7,633
164,164,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2028,192.7042894,315.5021999,90,0,0,0.5074245,0.018236404,0.103113,0,0.690354638,1.628773904,0.963074749,0.690354638,7,600
166,166,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2028,184.0380168,297.8935881,90,0,0,0.5074245,0.055096511,0.110349,0,0.723784895,1.672870011,0.940824736,0.723784895,7,432
168,168,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2028,184.0380168,297.8935881,90,0,0,0.5074245,0.055096511,0.0515565,0,0.723784895,1.614077511,0.970490255,0.723784895,7,432
170,170,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2028,149.2343007,227.1774741,90,0,0,0.5074245,0.055096511,0.0479385,0,0.858040673,1.610459511,0.972315825,0.858040673,9,172.5
172,172,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2028,138.0677669,204.4886937,90,0,0,0.5074245,0.021345691,0.1383885,0,0.901115719,1.667158691,0.943706554,0.901115719,10,133
174,174,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2028,149.2343007,227.1774741,90,0,0,0.5074245,0.055096511,0.110349,0,0.858040673,1.672870011,0.940824736,0.858040673,9,172.5
176,176,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2028,178.9545017,287.5646212,90,0,0,0.5074245,0.061545013,0.110349,0,0.743394619,1.679318513,0.937570951,0.743394619,8,327
178,178,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2028,154.0964406,237.0566387,90,0,0,0.5074245,0.018236404,0.104922,0,0.839284907,1.630582904,0.962161964,0.839284907,9,235
180,180,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2029,183.6166868,297.0375065,85,0,0,0.5074245,0.049349272,0.0786915,0,0.725410181,1.635465272,0.959698419,0.725410181,7,427
182,182,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2029,193.7171857,317.5602585,85,0,0,0.5074245,0.057825142,0.1221075,0,0.686447378,1.687357142,0.93351482,0.686447378,7,620
184,184,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2029,192.4826075,315.0517743,85,0,0,0.5074245,0.016679547,0.103113,0,0.691209779,1.627217047,0.963860308,0.691209779,7,594
186,186,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2029,183.6166868,297.0375065,85,0,0,0.5074245,0.049349272,0.110349,0,0.725410181,1.667122772,0.943724678,0.725410181,7,427
188,188,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2029,183.6166868,297.0375065,85,0,0,0.5074245,0.049349272,0.0515565,0,0.725410181,1.608330272,0.973390196,0.725410181,7,427
190,190,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2029,149.2978486,227.3065944,85,0,0,0.5074245,0.049349272,0.0479385,0,0.857795536,1.604712272,0.975215767,0.857795536,9,176.5
192,192,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2029,138.2907498,204.9417627,85,0,0,0.5074245,0.017437472,0.1383885,0,0.90025556,1.663250472,0.945678563,0.90025556,10,134
194,194,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2029,149.2978486,227.3065944,85,0,0,0.5074245,0.049349272,0.110349,0,0.857795536,1.667122772,0.943724678,0.857795536,9,176.5
196,196,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2029,178.4406654,286.5205802,85,0,0,0.5074245,0.057825142,0.110349,0,0.745376749,1.675598642,0.939447924,0.745376749,8,323
198,198,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2029,154.1690516,237.2041738,85,0,0,0.5074245,0.016679547,0.104922,0,0.839004809,1.629026047,0.962947523,0.839004809,9,245
200,200,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2030,183.1948902,296.180477,80,0,0,0.5074245,0.043602033,0.0786915,0,0.727037267,1.629718033,0.96259836,0.727037267,7,423
202,202,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2030,192.9662368,316.0344391,80,0,0,0.5074245,0.05410527,0.1221075,0,0.689344173,1.68363727,0.935391793,0.689344173,7,607
204,204,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2030,192.1111485,314.2970233,80,0,0,0.5074245,0.015122689,0.103113,0,0.692642687,1.625660189,0.964645867,0.692642687,7,588
206,206,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2030,183.1948902,296.180477,80,0,0,0.5074245,0.043602033,0.110349,0,0.727037267,1.661375533,0.94662462,0.727037267,7,423
208,208,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2030,183.1948902,296.180477,80,0,0,0.5074245,0.043602033,0.0515565,0,0.727037267,1.602583033,0.976290138,0.727037267,7,423
210,210,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2030,149.2725836,227.2552595,80,0,0,0.5074245,0.043602033,0.0479385,0,0.857892996,1.598965033,0.978115708,0.857892996,9,174.5
212,212,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2030,138.4065106,205.1769719,80,0,0,0.5074245,0.013529253,0.1383885,0,0.899809011,1.659342253,0.947650572,0.899809011,10,135
214,214,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2030,149.2725836,227.2552595,80,0,0,0.5074245,0.043602033,0.110349,0,0.857892996,1.661375533,0.94662462,0.857892996,9,174.5
216,216,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2030,177.9124455,285.447314,80,0,0,0.5074245,0.05410527,0.110349,0,0.747414364,1.67187877,0.941324897,0.747414364,8,317
218,218,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2030,154.1273127,237.1193663,80,0,0,0.5074245,0.015122689,0.104922,0,0.839165817,1.627469189,0.963733082,0.839165817,9,237
220,220,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2031,182.9474298,295.6776733,80,0,0,0.5074245,0.041433468,0.0786915,0,0.727991848,1.627549468,0.963692575,0.727991848,7,420
222,222,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2031,192.4879062,315.0625406,80,0,0,0.5074245,0.051405965,0.1221075,0,0.691189339,1.680937965,0.936753808,0.691189339,7,595
224,224,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2031,191.7560617,313.5755385,80,0,0,0.5074245,0.013465962,0.103113,0,0.694012439,1.624003462,0.965481818,0.694012439,7,581
226,226,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2031,182.9474298,295.6776733,80,0,0,0.5074245,0.041433468,0.110349,0,0.727991848,1.659206968,0.947718834,0.727991848,7,420
228,228,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2031,182.9474298,295.6776733,80,0,0,0.5074245,0.041433468,0.0515565,0,0.727991848,1.600414468,0.977384353,0.727991848,7,420
230,230,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2031,149.3280076,227.3678731,80,0,0,0.5074245,0.041433468,0.0479385,0,0.857679198,1.596796468,0.979209923,0.857679198,9,178.5
232,232,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2031,138.5836965,205.5369879,80,0,0,0.5074245,0.012653274,0.1383885,0,0.899125514,1.658466274,0.948092574,0.899125514,10,136
234,234,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2031,149.3280076,227.3678731,80,0,0,0.5074245,0.041433468,0.110349,0,0.857679198,1.659206968,0.947718834,0.857679198,9,178.5
236,236,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2031,177.5438839,284.69845,80,0,0,0.5074245,0.051405965,0.110349,0,0.748836096,1.669179465,0.942686912,0.748836096,8,314
