product,year,region,emissivity_type,unit,name,scenario,scope,emission_factor_n2o
Ammonia,2022,Latin America,,tN2O/tNH3,Ammonia,FA,3_downstream,0.0103810587323537
Ammonia,2022,Africa,,tN2O/tNH3,Ammonia,FA,3_downstream,0.0100164705882352
Ammonia,2022,Middle East,,tN2O/tNH3,Ammonia,FA,3_downstream,0.0104978823529411
Ammonia,2022,Rest of Asia,,tN2O/tNH3,Ammonia,FA,3_downstream,0.0131223529411764
Ammonia,2022,India,,tN2O/tNH3,Ammonia,FA,3_downstream,0.0122759999999999
Ammonia,2022,Oceania,,tN2O/tNH3,Ammonia,FA,3_downstream,0.0100630867747397
Ammonia,2022,Russia,,tN2O/tNH3,Ammonia,FA,3_downstream,0.0100941176470588
Ammonia,2022,Europe,,tN2O/tNH3,Ammonia,FA,3_downstream,0.0042755681470621
Ammonium nitrate,2022,China,0.0,tN2O/tAN,Nitric acid,,1,0.0047232112739402
Ammonium nitrate,2022,Rest of Asia,0.0,tN2O/tAN,Nitric acid,,1,0.0047232112739402
Ammonium nitrate,2022,North America,0.0,tN2O/tAN,Nitric acid,,1,0.0047232112739402
Ammonium nitrate,2022,Russia,0.0,tN2O/tAN,Nitric acid,,1,0.0047232112739402
Ammonium nitrate,2022,Europe,0.0,tN2O/tAN,Nitric acid,,1,0.0047232112739402
Ammonium nitrate,2022,India,0.0,tN2O/tAN,Nitric acid,,1,0.0047232112739402
Ammonium nitrate,2022,Middle East,0.0,tN2O/tAN,Nitric acid,,1,0.0047232112739402
