product,technology,year,region,co2_scope1_pre_process_input_pre_ccs,scope1_pre_ccs,external_co2_input,co2_scope1,co2_scope1_captured,n2o_scope1,co2_scope2,n2o_scope2,ch4_scope2,co2_scope3_upstream,n2o_scope3_upstream,ch4_scope3_upstream,co2_scope3_downstream,n2o_scope3_downstream,ch4_scope3_downstream,ch4_scope1
Ammonia,Biomass Digestion + ammonia synthesis,2025,Namibia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,North America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,Oceania,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,Rest of Asia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,Russia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,Saudi Arabia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Africa,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Australia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Brazil,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,China,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Europe,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,India,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Latin America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Middle East,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Namibia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
